Titre;Date_debut;Date_fin;Lieu;Description
Soutien RT1-RT2 (Non Obligatoire);20231026T120000Z;20231026T160000Z;G_002\,D_110\,G_003\,G_019\,G_004\,D_032\,G_012;\n\nRT1-S1\n(Exporté le:10/01/2024 06:47)\n
R1.03 DS TP;20231130T070000Z;20231130T110000Z;G_019;\n\nRT1-TP B1\nCHEMINEAU CHRISTOPHE\n(Exporté le:10/01/2024 0
R1.06;20231012T060000Z;20231012T100000Z;G_004;\n\nRT1-TP B2\nHEYRAUD CHRISTOPHE\n(Exporté le:10/01/2024 06:
R1.10;20240112T090000Z;20240112T110000Z;D_032;\n\nRT1-TP A2\nTCHEN CASSANDRA\n(Exporté le:10/01/2024 06:47)
R1.01c;20231020T120000Z;20231020T140000Z;G_012;\n\nRT1-TD B\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\n
SAE1.01 2H;20230919T060000Z;20230919T080000Z;G_004;\n\nRT1-TP B1\n(Exporté le:10/01/2024 06:47)\n
SAE1.01 MIPE;20230907T100000Z;20230907T110000Z;G_016;\n\nRT1-TD A\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:47)\n
SAE1.PORTFOLIO en 1ER;20230920T140000Z;20230920T160000Z;G_019;\n\nRT1-TP B1\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.01b;20230914T080000Z;20230914T100000Z;G_012;\n\nRT1-TD A\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 0
SAE1.04 1h EN 2EME;20240110T130000Z;20240110T140000Z;G_004;\n\nRT1-TP A2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.10;20240117T150000Z;20240117T170000Z;D_024;\n\nRT1-TP B2\nDO RAMO BERRY CARLOS\n(Exporté le:10/01/2024 0
R1.06;20230905T120000Z;20230905T140000Z;D_032;\n\nRT1-S1\nHEYRAUD CHRISTOPHE\n(Exporté le:10/01/2024 06:47)
R1.10;20231220T150000Z;20231220T170000Z;D_026;\n\nRT1-TP B1\nDO RAMO BERRY CARLOS\n(Exporté le:10/01/2024 0
SAE1.01 SUIVI;20230928T080000Z;20230928T090000Z;G_012;\n\nRT1-TP B1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.07 TD 2H;20230929T060000Z;20230929T080000Z;G_003;\n\nRT1-TD A\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
SAE1.02 2H;20231212T090000Z;20231212T110000Z;G_019;\n\nRT1-TP A2\n(Exporté le:10/01/2024 06:47)\n
R1.07 TP;20231122T070000Z;20231122T090000Z;G_002;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.04 TP;20231109T090000Z;20231109T110000Z;G_004;\n\nRT1-TP A2\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.01b;20230913T140000Z;20230913T160000Z;G_004;\n\nRT1-TD B\nCHAMBERT CHRISTOPHE\n(Exporté le:10/01/2024 06:
R1.02;20231024T060000Z;20231024T080000Z;G_004;\n\nRT1-TD A\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 0
R1.07 TP;20231219T120000Z;20231219T140000Z;G_004;\n\nRT1-TP A2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.10;20231215T090000Z;20231215T110000Z;D_032;\n\nRT1-TP A1\nTCHEN CASSANDRA\n(Exporté le:10/01/2024 06:47)
R1.02;20231207T070000Z;20231207T110000Z;D_110;\n\nRT1-TP B2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.04 DS TP;20231204T090000Z;20231204T110000Z;G_004;\n\nRT1-TP A2\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.10;20231129T130000Z;20231129T150000Z;D_032;\n\nRT1-TP A2\nTCHEN CASSANDRA\n(Exporté le:10/01/2024 06:47)
R1.07 TD 2H;20231019T070000Z;20231019T090000Z;D_110;\n\nRT1-TD B\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.08 (TP) FL;20231009T080000Z;20231009T100000Z;G_012b;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
CONFERENCE R&T DECEMBRE;20231205T130000Z;20231205T150000Z;G_011_AMPHI;\n\nRT3-TD R (ROM)\nRT1-S1\nRT2-S3\nRT3-TP FI\nNEJJAR NABIH\n
VISITE BU TPA1 présence OBLIGATOIRE;20230919T140000Z;20230919T150000Z;vide;\n\nRT1-TP A1\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:47)\n
R1.07 TP;20231207T070000Z;20231207T090000Z;G_019;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.02;20231023T140000Z;20231023T160000Z;G_011_AMPHI;\n\nRT1-S1\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 06:
R1.13;20230920T120000Z;20230920T140000Z;D_024;\n\nRT1-TD A\nGRIZONNET YANN\n(Exporté le:10/01/2024 06:47)\n
R1.11;20240119T133000Z;20240119T150000Z;D_026;\n\nRT1-TP B1\nLONGIN RACHEL\n(Exporté le:10/01/2024 06:47)\n
R1.03;20231020T080000Z;20231020T100000Z;G_012;\n\nRT1-TD B\nCHEMINEAU CHRISTOPHE\n(Exporté le:10/01/2024 06
R1.07 TP;20231201T070000Z;20231201T090000Z;G_019;\n\nRT1-TP A2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.14;20231002T080000Z;20231002T100000Z;D_026;\n\nRT1-TD B\nSABER OUAFAE\n(Exporté le:10/01/2024 06:47)\n
SAE1.01 SUIVI;20230925T080000Z;20230925T090000Z;G_007;\n\nRT1-TP B2\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.13;20231023T120000Z;20231023T140000Z;G_002;\n\nRT1-TP A2\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:47)\n
R1.11;20240112T070000Z;20240112T090000Z;G_004;\n\nRT1-TP B1\nLONGIN RACHEL\n(Exporté le:10/01/2024 06:47)\n
SAE1.02 2H;20240112T130000Z;20240112T150000Z;G_012;\n\nRT1-TP B2\n(Exporté le:10/01/2024 06:47)\n
SAE1.01 SUIVI;20231013T070000Z;20231013T080000Z;G_002;\n\nRT1-TP A2\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.15;20230906T083000Z;20230906T103000Z;D_110;\n\nRT1-TD B\nGAYA PATRICK\n(Exporté le:10/01/2024 06:47)\n
Atelier de Prévention contre le Cyberharcèlement;20231026T080000Z;20231026T090000Z;D_032;\n\nRT1-TD A\n(Exporté le:10/01/2024 06:47)\n
R1.08 (TP) PM;20231003T080000Z;20231003T100000Z;G_012;\n\nRT1-TP A2\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.03;20231013T120000Z;20231013T140000Z;G_012;\n\nRT1-TD A\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 0
R1.04 TP;20231006T140000Z;20231006T160000Z;G_004;\n\nRT1-TP B2\nCHEVRIER JEAN-PIERRE\n(Exporté le:10/01/2024 0
R1.07 TP;20231204T090000Z;20231204T110000Z;G_012;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.02;20231115T090000Z;20231115T110000Z;D_110;\n\nRT1-TD A\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 0
R1.13;20231018T060000Z;20231018T080000Z;D_032;\n\nRT1-TD B\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:47)\n
Soutien RT1-RT2 (Non Obligatoire);20231019T120000Z;20231019T160000Z;G_002\,D_110\,G_003\,G_019\,G_004\,G_007\,G_012;\n\nRT1-S1\n(Exporté le:10/01/2024 06:47)\n
R1.13;20230921T080000Z;20230921T100000Z;D_026;\n\nRT1-TD B\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:47)\n
R1.14;20231211T130000Z;20231211T150000Z;D_032;\n\nRT1-TD B\nSABER OUAFAE\n(Exporté le:10/01/2024 06:47)\n
R1.05;20231211T080000Z;20231211T110000Z;G_007;\n\nRT1-TP A1\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.07 TP;20231109T070000Z;20231109T090000Z;D_110;\n\nRT1-TP A2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.10;20230927T140000Z;20230927T160000Z;D_026;\n\nRT1-TD B\nDO RAMO BERRY CARLOS\n(Exporté le:10/01/2024 06
R1.11;20231017T120000Z;20231017T140000Z;D_026;\n\nRT1-TD B\nLAURENT SYLVIANE\n(Exporté le:10/01/2024 06:47)
R1.11;20231009T080000Z;20231009T100000Z;D_024;\n\nRT1-TP A2\nLAURENT SYLVIANE\n(Exporté le:10/01/2024 06:47
SAE1.02 2H;20231207T070000Z;20231207T090000Z;G_004;\n\nRT1-TP B1\n(Exporté le:10/01/2024 06:47)\n
SAE1.05 2H;20240112T090000Z;20240112T110000Z;G_019;\n\nRT1-TP B1\n(Exporté le:10/01/2024 06:47)\n
MOOC RECHERCHE DOCUMENTAIRE (MOODLE);20231107T090000Z;20231107T110000Z;G_007;\n\nRT1-TP A2\n(Exporté le:10/01/2024 06:47)\n
R1.04 ELECTRONIQUE MB;20230913T120000Z;20230913T140000Z;D_026;\n\nRT1-TD B\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:47)\n
R1.05;20231124T130000Z;20231124T150000Z;D_026;\n\nRT1-TD B\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.10;20231027T120000Z;20231027T140000Z;D_032;\n\nRT1-TD A\nTCHEN CASSANDRA\n(Exporté le:10/01/2024 06:47)\
R1.04 TP;20231128T090000Z;20231128T110000Z;G_004;\n\nRT1-TP B1\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.08 PM;20230908T080000Z;20230908T100000Z;G_012;\n\nRT1-TD A\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\n
R1.14;20231220T130000Z;20231220T150000Z;D_110;\n\nRT1-TP B1\nANDRE NOEL\n(Exporté le:10/01/2024 06:47)\n
R1.14;20231220T150000Z;20231220T170000Z;G_007;\n\nRT1-TP A1\nANDRE NOEL\n(Exporté le:10/01/2024 06:47)\n
SAE1.01 1H;20231013T070000Z;20231013T080000Z;G_007;\n\nRT1-TP A1\n(Exporté le:10/01/2024 06:47)\n
R1.09;20231215T090000Z;20231215T110000Z;D_110;\n\nRT1-TP A2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
SAE1.05 SUIVI;20240117T100000Z;20240117T110000Z;D_110;\n\nRT1-TP A2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
SAE1.02 2H;20231207T090000Z;20231207T110000Z;G_004;\n\nRT1-TP A1\n(Exporté le:10/01/2024 06:47)\n
R1.08;20230907T060000Z;20230907T080000Z;G_011_AMPHI;\n\nRT1-S1\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\n
ATELIER VIE DE CAMPUS;20230929T063000Z;20230929T080000Z;D_032;\n\nRT1-TD B\n(Exporté le:10/01/2024 06:47)\n
SAE1.03 SUIVI;20240109T150000Z;20240109T160000Z;G_007;\n\nRT1-TP B1\nHEYRAUD CHRISTOPHE\n(Exporté le:10/01/2024 06:
R1.04 TP;20231110T090000Z;20231110T110000Z;G_004;\n\nRT1-TP B1\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.09 (DS TP);20240110T100000Z;20240110T110000Z;G_004;\n\nRT1-TP B1\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.06;20230925T060000Z;20230925T100000Z;G_004;\n\nRT1-TP B1\nCHAMBERT CHRISTOPHE\n(Exporté le:10/01/2024 06
R1.14;20231211T150000Z;20231211T170000Z;D_110;\n\nRT1-TP A1\nANDRE NOEL\n(Exporté le:10/01/2024 06:47)\n
SAE1.01 2H;20230929T120000Z;20230929T140000Z;G_007;\n\nRT1-TP B2\n(Exporté le:10/01/2024 06:47)\n
R1.01b;20230912T060000Z;20230912T080000Z;D_032;\n\nRT1-S1\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 06:
R1.14;20231220T070000Z;20231220T090000Z;G_007;\n\nRT1-TP A2\nArmoire PC portable\nANDRE NOEL\n(Exporté le:1
R1.11;20231013T120000Z;20231013T140000Z;D_024;\n\nRT1-TD B\nLAURENT SYLVIANE\n(Exporté le:10/01/2024 06:47)
R1.08 (TP) PM;20230925T060000Z;20230925T080000Z;G_012;\n\nRT1-TP B2\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.09;20231219T150000Z;20231219T170000Z;D_110;\n\nRT1-TP B1\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.01c;20231012T080000Z;20231012T100000Z;G_012;\n\nRT1-TD A\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\n
R1.10;20231222T090000Z;20231222T110000Z;D_032;\n\nRT1-TP A1\nTCHEN CASSANDRA\n(Exporté le:10/01/2024 06:47)
SAE1.01 2H;20230926T120000Z;20230926T140000Z;G_002;\n\nRT1-TP A2\n(Exporté le:10/01/2024 06:47)\n
R1.11;20231222T070000Z;20231222T090000Z;G_016;\n\nRT1-TP A1\nLONGIN RACHEL\n(Exporté le:10/01/2024 06:47)\n
R1.04 TP;20231122T130000Z;20231122T150000Z;G_004;\n\nRT1-TP A1\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.01b;20230919T120000Z;20230919T160000Z;G_003;\n\nRT1-TP B1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.07 TP;20231130T090000Z;20231130T110000Z;D_110;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.07 TD 2H;20230929T080000Z;20230929T100000Z;G_003;\n\nRT1-TD B\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.08 (TP) FL;20231006T120000Z;20231006T140000Z;G_012b;\n\nRT1-TP B1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.01c;20231113T090000Z;20231113T110000Z;G_012;\n\nRT1-TP B1\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.08 PM;20230912T080000Z;20230912T100000Z;G_012;\n\nRT1-TD A\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\n
R1.03;20231004T120000Z;20231004T140000Z;G_011_AMPHI;\n\nRT1-S1\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 06:
R1.12 Présoutenance;20231206T070000Z;20231206T090000Z;G_011_AMPHI;\n\nRT1-TD A\nNEJJAR NABIH\n(Exporté le:10/01/2024 06:47)\n
R1.15;20231124T073000Z;20231124T090000Z;D_110;\n\nRT1-TP B1\nGAYA PATRICK\n(Exporté le:10/01/2024 06:47)\n
R1.11;20240126T133000Z;20240126T150000Z;D_026;\n\nRT1-TP A2\nLONGIN RACHEL\n(Exporté le:10/01/2024 06:47)\n
R1.04 TP;20231130T090000Z;20231130T110000Z;G_004;\n\nRT1-TP A2\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
SAE1.01 soutenance;20231129T080000Z;20231129T110000Z;D_032;\n\nRT1-TD B\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\n
R1.13;20231023T120000Z;20231023T140000Z;G_004;\n\nRT1-TP B1\nGRIZONNET YANN\n(Exporté le:10/01/2024 06:47)\
SAE1.02 SUIVI;20240108T150000Z;20240108T160000Z;G_019;\n\nRT1-TP A2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
SAE1.01 TP;20231108T080000Z;20231108T110000Z;G_007;\n\nRT1-TP B2\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
SAE1.02 2H;20240109T070000Z;20240109T090000Z;G_012;\n\nRT1-TP B2\n(Exporté le:10/01/2024 06:47)\n
R1.14;20231002T120000Z;20231002T140000Z;D_026;\n\nRT1-TD A\nSABER OUAFAE\n(Exporté le:10/01/2024 06:47)\n
R1.07 TP;20231129T070000Z;20231129T090000Z;D_110;\n\nRT1-TP A2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.01c;20231108T070000Z;20231108T090000Z;G_012;\n\nRT1-TP A2\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.03;20231011T120000Z;20231011T140000Z;G_012;\n\nRT1-TD A\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 0
R1.05;20231204T130000Z;20231204T160000Z;G_007;\n\nRT1-TP B2\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.01c;20231024T120000Z;20231024T140000Z;G_012;\n\nRT1-TP A2\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
Soutien RT1-RT2 (Non Obligatoire);20240111T130000Z;20240111T170000Z;G_002\,D_110\,G_003\,G_019\,G_007\,D_032\,G_012;\n\nRT1-S1\n(Exporté le:10/01/2024 06:47)\n
R1.12 Soutenance;20231220T090000Z;20231220T110000Z;G_011_AMPHI;\n\nRT1-TD A\nNEJJAR NABIH\n(Exporté le:10/01/2024 06:47)\n
R1.02;20231201T130000Z;20231201T170000Z;G_019;\n\nRT1-TP B1\nCHAMBERT CHRISTOPHE\n(Exporté le:10/01/2024 06
SAE1.PORTFOLIO en 1ER;20230920T060000Z;20230920T080000Z;D_110;\n\nRT1-TP A2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.08;20230906T120000Z;20230906T140000Z;D_032;\n\nRT1-S1\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\n
R1.14;20231211T070000Z;20231211T090000Z;D_110;\n\nRT1-TP B1\nANDRE NOEL\n(Exporté le:10/01/2024 06:47)\n
R1.11;20231025T060000Z;20231025T080000Z;D_024;\n\nRT1-TP B1\nLAURENT SYLVIANE\n(Exporté le:10/01/2024 06:47
SAE1.01 SUIVI;20231108T070000Z;20231108T080000Z;G_007;\n\nRT1-TP B2\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.07 TP;20231130T070000Z;20231130T090000Z;G_007;\n\nRT1-TP B2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.11;20240119T090000Z;20240119T103000Z;D_024;\n\nRT1-TP A2\nLONGIN RACHEL\n(Exporté le:10/01/2024 06:47)\n
R1.03 DS TP;20231206T130000Z;20231206T170000Z;G_019;\n\nRT1-TP A1\nCHEMINEAU CHRISTOPHE\n(Exporté le:10/01/2024 0
R1.02 DS TP;20231212T130000Z;20231212T160000Z;G_019;\n\nRT1-TP A2\nCHAMBERT CHRISTOPHE\n(Exporté le:10/01/2024 06
Contrôle des Absences;20231214T110000Z;20231214T111500Z;vide;\n\nRT2-S3\nRT1-S1\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:
R1.12 Présoutenance;20231206T090000Z;20231206T110000Z;G_011_AMPHI;\n\nRT1-TD B\nNEJJAR NABIH\n(Exporté le:10/01/2024 06:47)\n
R1.14;20231120T090000Z;20231120T110000Z;D_024;\n\nRT1-TD B\nSABER OUAFAE\n(Exporté le:10/01/2024 06:47)\n
R1.03;20231016T080000Z;20231016T100000Z;D_110;\n\nRT1-TD A\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 0
R1.07 TP;20231213T130000Z;20231213T150000Z;G_019;\n\nRT1-TP B2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
SAE1.01 soutenance;20231128T080000Z;20231128T110000Z;D_032;\n\nRT1-TD A\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\n
R1.03 DS TD;20231024T100000Z;20231024T110000Z;G_012;\n\nRT1-TD B\nCHEMINEAU CHRISTOPHE\n(Exporté le:10/01/2024 06
R1.06 2H;20230927T140000Z;20230927T160000Z;D_024;\n\nRT1-TD A\nHEYRAUD CHRISTOPHE\n(Exporté le:10/01/2024 06:4
R1.11;20240126T090000Z;20240126T103000Z;D_024;\n\nRT1-TP B1\nLONGIN RACHEL\n(Exporté le:10/01/2024 06:47)\n
R1.05;20231212T130000Z;20231212T160000Z;G_007;\n\nRT1-TP B2\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.11;20231025T120000Z;20231025T140000Z;D_024;\n\nRT1-TP A1\nLAURENT SYLVIANE\n(Exporté le:10/01/2024 06:47
R1.07 TD 2H;20230915T080000Z;20230915T100000Z;G_003;\n\nRT1-TD A\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
SAE1.05;20240110T130000Z;20240110T150000Z;D_110;\n\nRT1-TD B\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.10;20231006T060000Z;20231006T080000Z;D_032;\n\nRT1-TD A\nTCHEN CASSANDRA\n(Exporté le:10/01/2024 06:47)\
R1.08 (TP) FL;20231005T060000Z;20231005T080000Z;G_012b;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
Intég'Roanne RT1 - PRESENCE OBLIGATOIRE;20230912T100000Z;20230912T160000Z;vide;\n\nRT1-S1\n(Exporté le:10/01/2024 06:47)\n
